Date,Price,Open,High,Low,Vol.,,Change %
2/18/2022,220.9,220.9,220.9,220.9,,,0.0208
2/17/2022,216.4,216.4,216.4,216.4,,,0.003
2/16/2022,215.75,215.75,215.75,215.75,,,-0.008
2/15/2022,217.5,217.5,217.5,217.5,,,-0.0163
2/14/2022,221.1,221.1,221.1,221.1,,,0.0089
2/11/2022,219.15,219.15,219.15,219.15,,,0.0087
2/10/2022,217.25,217.25,217.25,217.25,,,-0.0005
2/9/2022,217.35,217.35,217.35,217.35,,,0.0012
2/8/2022,217.1,217.1,217.1,217.1,,,0.0002
2/7/2022,217.05,217.05,217.05,217.05,,,0.0065
2/4/2022,215.65,215.65,215.65,215.65,,,0.0143
2/3/2022,212.6,212.6,212.6,212.6,,,-0.0019
2/2/2022,213,213,213,213,,,-0.0141
2/1/2022,216.05,216.05,216.05,216.05,,,0.0061
1/31/2022,214.75,214.75,214.75,214.75,,,-0.0196
1/28/2022,219.05,219.05,219.05,219.05,,,0.0092
1/27/2022,217.05,217.05,217.05,217.05,,,-0.0116
1/26/2022,219.6,219.6,219.6,219.6,,,-0.0285
1/25/2022,226.05,226.05,226.05,226.05,,,0.0273
1/24/2022,220.05,220.05,220.05,220.05,,,0.0261
1/21/2022,214.45,214.45,214.45,214.45,,,0
1/20/2022,214.45,214.45,214.45,214.45,,,-0.0007
1/19/2022,214.6,214.6,214.6,214.6,,,0.0263
1/18/2022,209.1,209.1,209.1,209.1,,,0.0084
1/17/2022,207.35,207.35,207.35,207.35,,,0.0048
1/14/2022,206.35,206.35,206.35,206.35,,,-0.0105
1/13/2022,208.55,208.55,208.55,208.55,,,-0.0184
1/12/2022,212.45,212.45,212.45,212.45,,,-0.0135
1/11/2022,215.35,215.35,215.35,215.35,,,0.004
1/10/2022,214.5,214.5,214.5,214.5,,,0.0012
1/7/2022,214.25,214.25,214.25,214.25,,,0.0047
1/6/2022,213.25,213.25,213.25,213.25,,,-0.0161
1/5/2022,216.75,216.75,216.75,216.75,,,-0.0137
1/4/2022,219.75,219.75,219.75,219.75,,,-0.0023
12/31/2021,220.25,220.25,220.25,220.25,,,-0.0011
12/30/2021,220.5,220.5,220.5,220.5,,,-0.0011
12/29/2021,220.75,220.75,220.75,220.75,,,-0.002
12/28/2021,221.2,221.2,221.2,221.2,,,-0.0147
12/23/2021,224.5,224.5,224.5,224.5,,,0
12/22/2021,224.5,224.5,224.5,224.5,,,0.0131
12/21/2021,221.6,221.6,221.6,221.6,,,0.0096
12/20/2021,219.5,219.5,219.5,219.5,,,-0.0002
12/17/2021,219.55,219.55,219.55,219.55,,,0.0106
12/16/2021,217.25,217.25,217.25,217.25,,,-0.0062
12/15/2021,218.6,218.6,218.6,218.6,,,-0.0245
12/14/2021,224.1,224.1,224.1,224.1,,,0.0013
12/13/2021,223.8,223.8,223.8,223.8,,,-0.0025
12/10/2021,224.35,224.35,224.35,224.35,,,0.0081
12/9/2021,222.55,222.55,222.55,222.55,,,-0.0122
12/8/2021,225.3,225.3,225.3,225.3,,,-0.0066
12/7/2021,226.8,226.8,226.8,226.8,,,-0.0031
12/6/2021,227.5,227.5,227.5,227.5,,,-0.0002
12/3/2021,227.55,227.55,227.55,227.55,,,-0.0171
12/2/2021,231.5,231.5,231.5,231.5,,,0.031
12/1/2021,224.55,224.55,224.55,224.55,,,0
11/30/2021,224.55,224.55,224.55,224.55,,,-0.0237
11/29/2021,230,230,230,230,,,-0.0073
11/26/2021,231.7,231.7,231.7,231.7,,,-0.0124
11/25/2021,234.6,234.6,234.6,234.6,,,-0.0021
11/24/2021,235.1,235.1,235.1,235.1,,,0.0127
11/23/2021,232.15,238.75,238.75,238.75,10,,0
11/22/2021,232.15,233,233,233,10,,0.0297
11/19/2021,225.45,223.5,223.5,223.5,,,0.0105
11/18/2021,223.1,220,220,220,10,,0.0164
11/17/2021,219.5,220,220,218,10,,0.0197
11/16/2021,215.25,215.25,215.25,215.25,,,-0.0087
11/15/2021,217.15,217.15,217.15,217.15,,,-0.0057
11/12/2021,218.4,218.4,218.4,218.4,,,0.0023
11/11/2021,217.9,217.9,217.9,217.9,,,0.0182
11/10/2021,214,214,214,214,,,0.0106
11/9/2021,211.75,211.75,211.75,211.75,,,0.0064
11/8/2021,210.4,210.4,210.4,210.4,,,-0.0134
11/5/2021,213.25,213.25,213.25,213.25,,,-0.0155
11/4/2021,216.6,216.6,216.6,216.6,,,0.0016
11/3/2021,216.25,216.25,216.25,216.25,,,-0.0096
11/2/2021,218.35,218.35,218.35,218.35,,,0.0088
11/1/2021,216.45,214,214,214,40,,0.0117
10/29/2021,213.95,213.95,213.95,213.95,10,,0
10/28/2021,213.95,213.05,214,213.05,70,,0.0045
10/27/2021,213,212,214,212,20,,0.0133
10/26/2021,210.2,210.2,210.2,210.2,,,0.0057
10/25/2021,209,207.25,209,207,40,,0.0114
10/22/2021,206.65,204,207,204,70,,0.0118
10/21/2021,204.25,204.8,205,204,110,,-0.0145
10/20/2021,207.25,206.5,207.5,206,290,,0.0036
10/19/2021,206.5,208,208.5,207,220,,-0.0024
10/18/2021,207,209,209,206,40,,-0.0072
10/15/2021,208.5,206.6,208.75,206.5,90,,0.0097
10/14/2021,206.5,205.2,206.5,205.2,150,,0.011
10/13/2021,204.25,208,208,204,100,,-0.0204
10/12/2021,208.5,205,209,204.5,250,,0.0196
10/11/2021,204.5,202,205,201.2,220,,0.0111
10/8/2021,202.25,202.5,205,202.5,70,,-0.0012
10/7/2021,202.5,202,204.5,202,190,,0
10/6/2021,202.5,199.75,203,199,90,,0.0122
10/5/2021,200.05,202,202,200,150,,-0.0121
10/4/2021,202.5,202,203.25,200.1,120,,0
10/1/2021,202.5,200.6,203,200.6,120,,0.0095
9/30/2021,200.6,198,203,198,260,,0.017
9/29/2021,197.25,196.5,198.1,196.5,180,,0.0084
9/28/2021,195.6,195,197,195,120,,0.0075
9/27/2021,194.15,193,195,193,60,,0.0008
9/24/2021,194,194.5,195,193,220,,-0.0026
9/23/2021,194.5,193.5,195,193,180,,0.013
9/22/2021,192,189,194,189,170,,0.0194
9/21/2021,188.35,188.25,188.8,188,80,,-0.0024
9/20/2021,188.8,190.75,190.75,188.75,60,,-0.0079
9/17/2021,190.3,191,191,189.25,100,,-0.0018
9/16/2021,190.65,190,191,188.5,310,,0.0037
9/15/2021,189.95,187,190,187,440,,0.0212
9/14/2021,186,184,186.5,184,240,,0.0164
9/13/2021,183,183,183.5,182,70,,0
9/10/2021,183,182.75,184.5,181.65,190,,-0.0011
9/9/2021,183.2,184.5,184.5,182.5,370,,-0.0143
9/8/2021,185.85,188,188,184.7,170,,-0.0096
9/7/2021,187.65,188.05,189.25,187.25,240,,-0.0032
9/6/2021,188.25,190,190.5,188,300,,-0.0105
9/3/2021,190.25,191,192,190,90,,-0.006
9/2/2021,191.4,191,193,190,260,,-0.0018
9/1/2021,191.75,195,195,191,110,,-0.0129
8/31/2021,194.25,195,195,193,270,,-0.0077
8/27/2021,195.75,195,196.25,195,170,,-0.0018
8/26/2021,196.1,195,196.85,195,220,,0.0142
8/25/2021,193.35,191.55,194,191,130,,-0.0034
8/24/2021,194,193,196.7,191.75,190,,0.0026
8/23/2021,193.5,193.95,195.5,193.6,200,,0.0026
8/20/2021,193,192,194.5,192,320,,0.0105
8/19/2021,191,192,193.5,190,240,,-0.0142
8/18/2021,193.75,188,194.45,187.5,300,,0.0265
8/17/2021,188.75,192.55,192.55,188.1,340,,-0.022
8/16/2021,193,196.9,196.9,192.6,620,,-0.0103
8/13/2021,195,197,199.2,195,710,,0.0008
8/12/2021,194.85,190.2,196.25,188.5,600,,0.0285
8/11/2021,189.45,190,190,189,700,,-0.0016
8/10/2021,189.75,185.5,190,185.5,520,,0.0202
8/9/2021,186,185.5,187,185,110,,-0.0027
8/6/2021,186.5,183,187,182.5,190,,0.0155
8/5/2021,183.65,183.5,184.5,183,160,,0.0008
8/4/2021,183.5,185.6,187.5,184,320,,-0.0113
8/3/2021,185.6,185,189.9,185,420,,-0.004
8/2/2021,186.35,184,187,184,350,,0.0211
7/30/2021,182.5,182,185,180,180,,0.0055
7/29/2021,181.5,178,181.9,178,140,,0.0234
7/28/2021,177.35,175.5,177.5,175.5,90,,0.0134
7/27/2021,175,175,176,175,30,,0.0011
7/26/2021,174.8,174.5,175,174.25,140,,-0.0054
7/23/2021,175.75,174,176,174,30,,0.0083
7/22/2021,174.3,177.65,177.65,174,310,,-0.0235
