Date,Price,Open,High,Low,Vol.,Vol.,Change %
2021-09-02,2406.75,2435.5,2443.25,2382,,,-0.0118
2021-09-01,2435.5,2473,2494.5,2425,,,-0.0126
2021-08-31,2466.5,2485,2498.5,2461.5,,,-0.0074
2021-08-30,2485,2422,2500,2404.25,,,0.026
2021-08-29,2422,2425.25,2430,2420.5,,,0.0058
2021-08-27,2408,2398,2435.5,2392.5,,,0.0046
2021-08-26,2397,2427,2427,2356.75,,,-0.0124
2021-08-25,2427,2456.5,2479.5,2420,,,-0.012
2021-08-24,2456.5,2398,2472.25,2385,,,0.0245
2021-08-23,2397.75,2277.5,2429,2271,,,0.0528
2021-08-22,2277.5,2271,2277.5,2260,,,0.0024
2021-08-20,2272,2304.75,2337,2265,,,-0.0141
2021-08-19,2304.5,2420,2432.25,2292.75,,,-0.0477
2021-08-18,2420,2497.25,2537.75,2413,,,-0.031
2021-08-17,2497.5,2608,2611.25,2467,,,-0.0424
2021-08-16,2608,2641.5,2644.5,2576.25,,,-0.0127
2021-08-15,2641.5,2643,2655,2638.75,,,-0.0026
2021-08-13,2648.5,2622.75,2662.5,2607.5,,,0.0097
2021-08-12,2623,2635.25,2646.75,2615,,,-0.0046
2021-08-11,2635,2644.75,2661,2610.25,,,-0.0045
2021-08-10,2647,2601.5,2663.5,2592,,,0.0176
2021-08-09,2601.25,2630.25,2639,2598.5,,,-0.0108
2021-08-08,2629.75,2632.25,2637.5,2619,,,0.001
2021-08-06,2627,2646.5,2673.5,2624.5,,,-0.0068
2021-08-05,2645,2646,2669.5,2633.5,,,-0.0003
2021-08-04,2645.75,2646.25,2680,2644.25,,,-0.0001
2021-08-03,2646,2683,2707.25,2634,,,-0.0138
2021-08-02,2683,2663.75,2695.5,2661,,,0.0071
2021-08-01,2664,2649.75,2667.5,2649.75,,,0
2021-07-30,2664,2660,2668,2626,,,0.0008
2021-07-29,2662,2631.25,2677,2626.5,,,0.0115
2021-07-28,2631.75,2606.5,2634.5,2596.25,,,0.0097
2021-07-27,2606.5,2650.75,2670,2583,,,-0.0168
2021-07-26,2651,2675.52,2706.5,2649.5,,,-0.0091
2021-07-25,2675.27,2673.77,2675.27,2673.52,,,0.001
2021-07-23,2672.5,2728,2740,2645,,,-0.0203
2021-07-22,2728,2664,2736,2658,,,0.024
2021-07-21,2664,2636.5,2677,2629.5,,,0.0104
2021-07-20,2636.5,2593.5,2653.25,2566.5,,,0.0166
2021-07-19,2593.5,2638.5,2649.5,2567,,,-0.0172
2021-07-18,2639,2631,2639.5,2622.5,,,0.0041
2021-07-16,2628.25,2746,2752.25,2609.5,,,-0.0429
2021-07-15,2746,2811,2831.75,2694.75,,,-0.0229
2021-07-14,2810.5,2831.5,2848,2798.25,,,-0.0074
2021-07-13,2831.5,2854.75,2857.75,2822.5,,,-0.0088
2021-07-12,2856.5,2808.25,2868,2791,,,0.0165
2021-07-11,2810,2821,2821,2806,,,-0.0027
2021-07-09,2817.5,2799.25,2823.75,2787.5,,,0.007
2021-07-08,2798,2850,2860.5,2783.75,,,-0.0182
2021-07-07,2850,2774.25,2874,2774.25,,,0.0271
2021-07-06,2774.75,2823,2882,2768.5,,,-0.0171
2021-07-05,2823,2794,2825.5,2793,,,0.0104
2021-07-04,2794,2788,2804.5,2788,,,0.0018
2021-07-02,2789,2766.5,2812.5,2758,,,0.0081
2021-07-01,2766.5,2780.5,2801.25,2751,,,-0.005
2021-06-30,2780.5,2694.25,2793,2671.5,,,0.0319
2021-06-29,2694.5,2692,2698.75,2664,,,0.0009
2021-06-28,2692,2651,2703,2629,,,0.0155
2021-06-27,2651,2643.25,2651,2634,,,0.0023
