Date,Price,Open,High,Low,Vol.,Vol.,Change %
2022-04-08,24.823,24.725,24.935,24.495,50.94,50940,0.0036
2022-04-07,24.735,24.57,24.78,24.335,48.61,48610,0.0113
2022-04-06,24.458,24.465,24.68,24.2,47.18,47180,-0.0031
2022-04-05,24.534,24.665,25.11,24.355,49.22,49220,-0.0023
2022-04-04,24.59,24.735,25.005,24.385,41.51,41510,-0.0026
2022-04-01,24.654,24.99,25.04,24.565,44.25,44250,-0.0191
2022-03-31,25.133,25.035,25.285,24.67,36.61,36610,0.0008
2022-03-30,25.113,24.92,25.265,24.855,38.79,38790,0.0152
2022-03-29,24.736,25.01,25.135,24.045,76.19,76190,-0.0183
2022-03-28,25.196,25.725,25.795,24.94,46.26,46260,-0.0164
2022-03-25,25.615,25.85,26.035,25.47,37.91,37910,-0.0118
2022-03-24,25.92,25.285,26.16,25.17,61,61000,0.029
2022-03-23,25.189,24.915,25.37,24.78,34.15,34150,0.0114
2022-03-22,24.904,25.41,25.59,24.695,45.76,45760,-0.0162
2022-03-21,25.313,25.15,25.52,25.05,34.84,34840,0.009
2022-03-18,25.087,25.595,25.64,24.98,38.06,38060,-0.0207
2022-03-17,25.616,25.24,25.75,25.165,40.14,40140,0.0367
2022-03-16,24.71,25.115,25.25,24.55,46.3,46300,-0.0178
2022-03-15,25.158,25.26,25.315,24.75,47.79,47790,-0.0055
2022-03-14,25.298,26.28,26.29,25.16,52.36,52360,-0.033
2022-03-11,26.16,26.255,26.35,25.695,51.55,51550,-0.0037
2022-03-10,26.256,26.06,26.425,25.6,55.85,55850,0.017
2022-03-09,25.816,26.925,27.39,25.73,87.11,87110,-0.0401
2022-03-08,26.895,25.805,27.495,25.55,127.21,127210,0.0457
2022-03-07,25.72,26.025,26.37,25.465,81.5,81500,-0.0027
2022-03-04,25.789,25.285,25.92,25.155,70.86,70860,0.0229
2022-03-03,25.212,25.45,25.665,25.075,57.47,57470,0.0009
2022-03-02,25.19,25.505,25.545,24.96,69.47,69470,-0.0137
2022-03-01,25.541,24.455,25.65,24.345,68.56,68560,0.0482
2022-02-28,24.366,24.62,24.88,24.155,55.28,55280,0.0145
2022-02-25,24.017,24.33,24.55,23.92,67.32,67320,-0.0271
2022-02-24,24.687,24.61,25.67,23.86,107.56,107560,0.0055
2022-02-23,24.553,24.145,24.62,24.05,62.69,62690,0.01
2022-02-21,24.311,24.06,24.385,23.71,96.22,96220,0.0133
2022-02-18,23.992,23.855,24.115,23.7,52.87,52870,0.0049
2022-02-17,23.875,23.645,23.93,23.44,60.05,60050,0.0114
2022-02-16,23.605,23.38,23.67,23.29,47.87,47870,0.0113
2022-02-15,23.342,23.885,24.015,23.07,61.87,61870,-0.0212
2022-02-14,23.848,23.6,23.965,23.555,57.09,57090,0.0205
2022-02-11,23.369,23.205,23.71,22.855,77.04,77040,-0.0065
2022-02-10,23.522,23.31,23.735,23.145,77.91,77910,0.0078
2022-02-09,23.341,23.195,23.365,23.095,52.98,52980,0.0061
2022-02-08,23.2,23.025,23.265,22.77,52.51,52510,0.0054
2022-02-07,23.076,22.535,23.11,22.5,58.94,58940,0.0267
2022-02-04,22.475,22.42,22.69,22.1,47.76,47760,0.0045
2022-02-03,22.375,22.65,22.66,21.985,55.03,55030,-0.0146
2022-02-02,22.707,22.64,22.875,22.465,38.34,38340,0.005
2022-02-01,22.595,22.49,23.06,22.405,48.4,48400,0.009
2022-01-31,22.393,22.475,22.655,22.25,38.42,38420,0.0041
2022-01-28,22.301,22.79,22.83,22.15,63.81,63810,-0.0165
2022-01-27,22.676,23.565,23.625,22.585,82.12,82120,-0.0475
2022-01-26,23.807,23.85,24.025,23.46,55.62,55620,-0.0037
2022-01-25,23.896,24.045,24.045,23.635,53.18,53180,0.004
2022-01-24,23.8,24.305,24.36,23.595,72.35,72350,-0.0214
2022-01-21,24.32,24.525,24.64,24.205,62.05,62050,-0.016
2022-01-20,24.716,24.185,24.755,24.125,75.61,75610,0.02
2022-01-19,24.231,23.505,24.265,23.43,73.9,73900,0.0315
2022-01-17,23.492,22.995,23.68,22.82,105.83,105830,0.025
2022-01-14,22.918,23.115,23.345,22.845,50.67,50670,-0.0105
2022-01-13,23.162,23.19,23.315,23.025,53.38,53380,-0.0019
2022-01-12,23.207,22.82,23.26,22.68,55.76,55760,0.0173
2022-01-11,22.812,22.5,22.86,22.48,48.87,48870,0.0156
2022-01-10,22.462,22.385,22.54,22.205,44.53,44530,0.0024
2022-01-07,22.409,22.195,22.46,21.945,57.76,57760,0.0099
2022-01-06,22.19,22.81,22.85,22,73.89,73890,-0.0423
2022-01-05,23.17,23.095,23.3,22.75,41.19,41190,0.0049
2022-01-04,23.056,22.92,23.14,22.655,44.91,44910,0.0108
2022-01-03,22.81,23.385,23.44,22.69,46.32,46320,-0.0232
2021-12-31,23.352,23.095,23.39,23.07,30.39,30390,0.0127
2021-12-30,23.06,22.87,23.155,22.63,30.54,30540,0.0088
2021-12-29,22.858,23.05,23.185,22.6,40.03,40030,-0.0114
2021-12-28,23.121,23.105,23.48,23.005,42.75,42750,0.0057
2021-12-27,22.989,22.9,23.15,22.655,39.29,39290,0.0021
2021-12-23,22.94,22.815,22.965,22.68,33.91,33910,0.0053
2021-12-22,22.819,22.525,22.86,22.44,35.7,35700,0.0129
2021-12-21,22.529,22.29,22.805,22.185,45.67,45670,0.0107
2021-12-20,22.291,22.39,22.435,22.19,35.06,35060,-0.0107
2021-12-17,22.533,22.53,22.69,22.355,39.31,39310,0.0021
2021-12-16,22.485,22.07,22.56,21.93,56.37,56370,0.0436
2021-12-15,21.545,21.945,22.13,21.41,65.04,65040,-0.0173
2021-12-14,21.924,22.35,22.355,21.67,52.45,52450,-0.0181
2021-12-13,22.328,22.195,22.43,22.16,31.88,31880,0.006
2021-12-10,22.195,21.975,22.24,21.815,43.9,43900,0.0083
2021-12-09,22.013,22.435,22.475,21.84,58.89,58890,-0.0187
2021-12-08,22.432,22.525,22.58,22.305,28.91,28910,-0.004
2021-12-07,22.523,22.395,22.625,22.23,38.83,38830,0.0117
2021-12-06,22.263,22.61,22.635,22.125,41.15,41150,-0.0097
2021-12-03,22.481,22.41,22.59,22.035,54.13,54130,0.0074
2021-12-02,22.316,22.335,22.505,22.215,45.19,45190,-0.001
2021-12-01,22.339,22.875,23.06,22.185,65.42,65420,-0.0209
2021-11-30,22.815,22.93,23.355,22.705,68.03,68030,-0.0016
2021-11-29,22.852,23.16,23.46,22.775,66.86,66860,-0.0122
2021-11-25,23.135,23.61,23.77,22.935,55.88,55880,-0.0154
2021-11-24,23.496,23.64,23.695,23.4,54.62,54620,0.0026
2021-11-23,23.435,24.21,24.34,23.28,93.87,93870,-0.0355
2021-11-22,24.297,24.67,24.955,24.14,78.54,78540,-0.0195
2021-11-19,24.781,24.85,25.04,24.61,67.98,67980,-0.0048
2021-11-18,24.9,25.15,25.23,24.73,63.62,63620,-0.0106
2021-11-17,25.167,24.86,25.285,24.85,54.35,54350,0.0089
2021-11-16,24.944,25.135,25.49,24.825,77,77000,-0.0064
2021-11-15,25.105,25.425,25.465,24.97,68.48,68480,-0.0095
2021-11-12,25.346,25.35,25.47,24.925,66.39,66390,0.0018
2021-11-11,25.301,24.71,25.365,24.645,82.02,82020,0.0214
2021-11-10,24.772,24.375,25.22,24.04,131.56,131560,0.0187
2021-11-09,24.318,24.55,24.565,24.09,65.11,65110,-0.0091
2021-11-08,24.542,24.285,24.59,24.13,67.62,67620,0.0159
2021-11-05,24.157,23.87,24.255,23.665,73.24,73240,0.0103
2021-11-04,23.911,23.53,24.115,23.485,68.46,68460,0.0293
